active,area,configid,lat,long,meter number,sub area,zone
1,Route 06,1703,39.9634,-82.989296,EN529,BROAD ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.972244,-83.00385,WBB61,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,980,39.97171,-83.00611,NG601,ARMSTRONG ST N,"Columbus, OH Default Zone"
1,Route 05,979,39.957657,-82.99897,EG6,RICH ST,"Columbus, OH Default Zone"
1,Route 05,1675,39.957294,-83.00195,WG106,RICH ST W,"Columbus, OH Default Zone"
0,Route 05,979,39.961178,-82.998795,xSG119,SECOND ST,"Columbus, OH Default Zone"
1,Route 06,4269,39.96332,-82.99202,EN308,BROAD ST E,"Columbus, OH Default Zone"
1,Route 06,1703,39.96293,-82.99345,EN309,BROAD ST E,"Columbus, OH Default Zone"
1,Route 05,5743,39.95741,-83.00101,WG54,RICH ST W,"Columbus, OH Default Zone"
1,Route 05,1675,39.95803,-83.000496,WH7,WALNUT ST W,"Columbus, OH Default Zone"
1,Route 05,1675,39.95848,-83.0022,WI107,TOWN ST W,"Columbus, OH Default Zone"
1,Route 06,1703,39.96276,-82.99491,EN257,BROAD ST E,"Columbus, OH Default Zone"
1,Route 05,1675,39.958298,-83.000854,SJ307,WALL ST S,"Columbus, OH Default Zone"
1,Route 06,4269,39.963154,-82.99358,EN282,BROAD ST E,"Columbus, OH Default Zone"
1,Route 06,4269,39.9632,-82.9931,EN294,BROAD ST E,"Columbus, OH Default Zone"
1,Route 05,1675,39.95845,-83.002426,WI113,TOWN ST W,"Columbus, OH Default Zone"
1,Route 06,4269,39.96333,-82.99193,EN310,BROAD ST E,"Columbus, OH Default Zone"
1,Route 05,1675,39.958107,-83.00082,SJ313,WALL ST S,"Columbus, OH Default Zone"
1,Route 06,1703,39.962753,-82.994995,EN255,BROAD ST E,"Columbus, OH Default Zone"
1,Route 06,1703,39.96306,-82.99225,EN405,BROAD ST E,"Columbus, OH Default Zone"
0,Route 05,4265,39.957508,-83.00002,WG02,RICH ST W,"Columbus, OH Default Zone"
1,Route 05,1675,39.957314,-83.00179,WG102,RICH ST W,"Columbus, OH Default Zone"
1,Route 05,1675,39.958378,-83.00086,SJ305,WALL ST S,"Columbus, OH Default Zone"
1,Route 06,1703,39.96295,-82.993286,EN313,BROAD ST E,"Columbus, OH Default Zone"
0,Route 05,4265,39.957497,-83.0001,WG04,RICH ST W,"Columbus, OH Default Zone"
1,Route 06,4269,39.96314,-82.99367,EN280,BROAD ST E,"Columbus, OH Default Zone"
1,Route 06,1703,39.96292,-82.99353,EN307,BROAD ST E,"Columbus, OH Default Zone"
1,Route 05,979,39.95766,-82.99891,EG8,RICH ST,"Columbus, OH Default Zone"
1,Route 05,1675,39.958466,-83.002335,WI111,TOWN ST W,"Columbus, OH Default Zone"
1,Route 05,5743,39.95742,-83.00092,WG52,RICH ST W,"Columbus, OH Default Zone"
1,Route 06,4269,39.96336,-82.99168,EN316,BROAD ST E,"Columbus, OH Default Zone"
